"","X0","cluster","cells","cellnames"
"209",0,6,"RHC3546__Tcell__.C6E879","RHC4800__Tcell__.C6E879"
"210",0,5,"RHC3546__Tcell__.C6E879","RHC4801__Epithelial__.2749FE"
"211",0,6,"RHC3546__Tcell__.C6E879","RHC4804__Tcell__.C6E879"
"212",0,5,"RHC3546__Tcell__.C6E879","RHC4807__Epithelial__.2749FE"
"213",0,2,"RHC3546__Tcell__.C6E879","RHC4810__Macrophage__.FFFF55"
"214",0,4,"RHC3546__Tcell__.C6E879","RHC4811__Epithelial__.2749FE"
"215",0,5,"RHC3546__Tcell__.C6E879","RHC4813__Epithelial__.2749FE"
"216",0,1,"RHC3546__Tcell__.C6E879","RHC4815__Epithelial__.2749FE"
"217",0,4,"RHC3546__Tcell__.C6E879","RHL2672__Epithelial__.2749FE"
"218",0,4,"RHC3546__Tcell__.C6E879","RHL2679__Epithelial__.2749FE"
"219",0,4,"RHC3546__Tcell__.C6E879","RHL2701__Epithelial__.2749FE"
"220",0,6,"RHC3546__Tcell__.C6E879","RHL2704__Tcell__.C6E879"
"221",0,4,"RHC3546__Tcell__.C6E879","RHL2716__Epithelial__.2749FE"
"222",0,4,"RHC3546__Tcell__.C6E879","RHL2717__Epithelial__.2749FE"
"223",0,4,"RHC3546__Tcell__.C6E879","RHL2718__Epithelial__.2749FE"
"224",0,5,"RHC3546__Tcell__.C6E879","RHL2723__Epithelial__.2749FE"
"225",0,4,"RHC3546__Tcell__.C6E879","RHL2724__Epithelial__.2749FE"
"226",0,4,"RHC3546__Tcell__.C6E879","RHL2733__Epithelial__.2749FE"
"227",0,7,"RHC3546__Tcell__.C6E879","RHL2738__Epithelial__.2749FE"
"228",0,4,"RHC3546__Tcell__.C6E879","RHL2747__Epithelial__.2749FE"
"229",0,4,"RHC3546__Tcell__.C6E879","RHL2749__Epithelial__.2749FE"
"230",0,6,"RHC3546__Tcell__.C6E879","RHL2752__Tcell__.C6E879"
"231",0,4,"RHC3546__Tcell__.C6E879","RHL2753__Epithelial__.2749FE"
"232",0,4,"RHC3546__Tcell__.C6E879","RHL2755__NA__grey"
"233",0,4,"RHC3546__Tcell__.C6E879","RHL2758__Epithelial__.2749FE"
"234",0,4,"RHC3546__Tcell__.C6E879","RHL2759__Epithelial__.2749FE"
"235",0,1,"RHC3546__Tcell__.C6E879","RHL2760__NA__grey"
"236",0,2,"RHC3546__Tcell__.C6E879","RHL2762__Macrophage__.FFFF55"
"237",0,4,"RHC3546__Tcell__.C6E879","RHL2763__NA__grey"
"238",0,4,"RHC3546__Tcell__.C6E879","RHL2765__Epithelial__.2749FE"
"239",0,1,"RHC3546__Tcell__.C6E879","RHL2766__Epithelial__.2749FE"
"240",0,5,"RHC3546__Tcell__.C6E879","RHL2767__Epithelial__.2749FE"
"241",0,5,"RHC3546__Tcell__.C6E879","RHL2768__Epithelial__.2749FE"
"242",0,4,"RHC3546__Tcell__.C6E879","RHL2769__Epithelial__.2749FE"
"243",0,5,"RHC3546__Tcell__.C6E879","RHL2770__Epithelial__.2749FE"
"244",0,5,"RHC3546__Tcell__.C6E879","RHL2773__Epithelial__.2749FE"
"245",0,4,"RHC3546__Tcell__.C6E879","RHL2779__Epithelial__.2749FE"
"246",0,4,"RHC3546__Tcell__.C6E879","RHL2780__Epithelial__.2749FE"
"247",0,5,"RHC3546__Tcell__.C6E879","RHL2781__Epithelial__.2749FE"
"248",0,6,"RHC3546__Tcell__.C6E879","RHL2786__Bcell__.7DEA7B"
"249",0,4,"RHC3546__Tcell__.C6E879","RHL2788__Epithelial__.2749FE"
"250",0,7,"RHC3546__Tcell__.C6E879","RHL2789__Epithelial__.2749FE"
"251",0,4,"RHC3546__Tcell__.C6E879","RHL2791__Epithelial__.2749FE"
"252",0,5,"RHC3546__Tcell__.C6E879","RHC5544__Epithelial__.2749FE"
"253",0,7,"RHC3546__Tcell__.C6E879","RHC5546__Epithelial__.2749FE"
"254",0,7,"RHC3546__Tcell__.C6E879","RHC5547__Epithelial__.2749FE"
"255",0,5,"RHC3546__Tcell__.C6E879","RHC5549__Epithelial__.2749FE"
"256",0,7,"RHC3546__Tcell__.C6E879","RHC5550__Epithelial__.2749FE"
"257",0,7,"RHC3546__Tcell__.C6E879","RHC5551__NA__grey"
"258",0,7,"RHC3546__Tcell__.C6E879","RHC5552__Epithelial__.2749FE"
"259",0,4,"RHC3546__Tcell__.C6E879","RHC5553__Epithelial__.2749FE"
"260",0,7,"RHC3546__Tcell__.C6E879","RHC5554__Epithelial__.2749FE"
"261",0,4,"RHC3546__Tcell__.C6E879","RHC5555__Epithelial__.2749FE"
"262",0,5,"RHC3546__Tcell__.C6E879","RHC5557__Epithelial__.2749FE"
"263",0,5,"RHC3546__Tcell__.C6E879","RHC5558__Epithelial__.2749FE"
"264",0,5,"RHC3546__Tcell__.C6E879","RHC5560__Epithelial__.2749FE"
"265",0,5,"RHC3546__Tcell__.C6E879","RHC5561__Epithelial__.2749FE"
"266",0,7,"RHC3546__Tcell__.C6E879","RHC5562__Epithelial__.2749FE"
"267",0,5,"RHC3546__Tcell__.C6E879","RHC5563__Epithelial__.2749FE"
"268",0,7,"RHC3546__Tcell__.C6E879","RHC5564__Epithelial__.2749FE"
"269",0,7,"RHC3546__Tcell__.C6E879","RHC5565__Epithelial__.2749FE"
"270",0,7,"RHC3546__Tcell__.C6E879","RHC5566__Epithelial__.2749FE"
"271",0,7,"RHC3546__Tcell__.C6E879","RHC5567__Epithelial__.2749FE"
"272",0,5,"RHC3546__Tcell__.C6E879","RHC5568__Epithelial__.2749FE"
"273",0,7,"RHC3546__Tcell__.C6E879","RHC5569__Epithelial__.2749FE"
"274",0,4,"RHC3546__Tcell__.C6E879","RHC5570__Epithelial__.2749FE"
"275",0,5,"RHC3546__Tcell__.C6E879","RHC5571__Tcell__.C6E879"
"276",0,7,"RHC3546__Tcell__.C6E879","RHC5574__Epithelial__.2749FE"
"277",0,4,"RHC3546__Tcell__.C6E879","RHC5575__Epithelial__.2749FE"
"278",0,6,"RHC3546__Tcell__.C6E879","RHC5576__Tcell__.C6E879"
"279",0,4,"RHC3546__Tcell__.C6E879","RHC5577__Epithelial__.2749FE"
"280",0,1,"RHC3546__Tcell__.C6E879","RHC5578__Epithelial__.2749FE"
"281",0,1,"RHC3546__Tcell__.C6E879","RHC5580__Epithelial__.2749FE"
"282",0,7,"RHC3546__Tcell__.C6E879","RHC5582__Epithelial__.2749FE"
"283",0,4,"RHC3546__Tcell__.C6E879","RHC5585__Epithelial__.2749FE"
"284",0,4,"RHC3546__Tcell__.C6E879","RHC5586__Epithelial__.2749FE"
"285",0,4,"RHC3546__Tcell__.C6E879","RHC5592__Epithelial__.2749FE"
"286",0,5,"RHC3546__Tcell__.C6E879","RHC5594__Epithelial__.2749FE"
"287",0,7,"RHC3546__Tcell__.C6E879","RHC5597__Epithelial__.2749FE"
"288",0,5,"RHC3546__Tcell__.C6E879","RHC5598__Epithelial__.2749FE"
"289",0,4,"RHC3546__Tcell__.C6E879","RHC5599__Epithelial__.2749FE"
"290",0,7,"RHC3546__Tcell__.C6E879","RHC5600__Epithelial__.2749FE"
"291",0,7,"RHC3546__Tcell__.C6E879","RHC5601__Epithelial__.2749FE"
"292",0,7,"RHC3546__Tcell__.C6E879","RHC5602__Epithelial__.2749FE"
"293",0,5,"RHC3546__Tcell__.C6E879","RHC5604__Epithelial__.2749FE"
"294",0,7,"RHC3546__Tcell__.C6E879","RHC5605__Epithelial__.2749FE"
"295",0,7,"RHC3546__Tcell__.C6E879","RHC5606__Epithelial__.2749FE"
"296",0,4,"RHC3546__Tcell__.C6E879","RHC5607__Epithelial__.2749FE"
"297",0,5,"RHC3546__Tcell__.C6E879","RHC5608__Epithelial__.2749FE"
"298",0,5,"RHC3546__Tcell__.C6E879","RHC5610__Epithelial__.2749FE"
